completedTools;inputTokensLast;avgPerToolTime;taxRefAttrTag;graphicalResolution;toolLook;totalCalls;taxRefAttrColor;repetitions;totalToolTime;status;outputTokens;expectedRepetitions;repIndex;tax;taxRelProx;solutionChecker;taxRefSuperExtremum;totalTokens;inputImagesLast;toolPickObject;taxRelFloor;taxActDrop;taxRel;toolWalk;taskPrompt;taxRefGroupSimple;taxRefAttrPattern;taxAct;graphicalLighting;threadId;outputTokensLast;scene;taxRefAttrShape;objectIdentifier;taxRelArea;totalGenerationTime;failedTools;taskId;taxRefId;solutionCheck;model;taxRefTag;taxRef;totalTokensLast;inputImages;coordinatesType;toolsCount;inputTokens;stoppedTools;avgPerGenerationTime;toolDropObject;taxActPick;episodeId
1;6578;2030.0;;HR;0;2;;15;2030.0;Ended;33;15.0;11;;;C3;;13130;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep12;17;S1;;OPAQ;;5751.0;0;T1;;1.0;G4O;;;6595;2;ABS;1;13097;0;2875.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1882.0;;HR;0;2;;15;1882.0;Ended;34;15.0;12;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep13;18;S1;;OPAQ;;6298.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;3149.0;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1880.0;;HR;0;2;;15;1880.0;Ended;34;15.0;13;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep14;18;S1;;OPAQ;;6283.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;3141.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1913.0;;HR;0;2;;15;1913.0;Ended;34;15.0;14;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep15;18;S1;;OPAQ;;8869.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;4434.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6610;2050.0;;HR;0;2;;15;2050.0;Ended;35;15.0;0;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep1;17;S1;;SEM;;7598.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3799.0;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1926.0;;HR;0;2;;15;1926.0;Ended;35;15.0;1;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep2;17;S1;;SEM;;7881.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3940.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1915.0;;HR;0;2;;15;1915.0;Ended;35;15.0;2;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep3;17;S1;;SEM;;11664.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;5832.0;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1902.0;;HR;0;2;;15;1902.0;Ended;35;15.0;3;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep4;17;S1;;SEM;;6647.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3323.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1921.0;;HR;0;2;;15;1921.0;Ended;35;15.0;4;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep5;17;S1;;SEM;;7317.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3658.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1930.0;;HR;0;2;;15;1930.0;Ended;35;15.0;5;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep6;17;S1;;SEM;;6710.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3355.0;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1927.0;;HR;0;2;;15;1927.0;Ended;35;15.0;6;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep7;17;S1;;SEM;;6295.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3147.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1978.0;;HR;0;2;;15;1978.0;Ended;35;15.0;7;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep8;17;S1;;SEM;;7097.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3548.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1882.0;;HR;0;2;;15;1882.0;Ended;35;15.0;8;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep9;17;S1;;SEM;;8223.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;4111.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1956.0;;HR;0;2;;15;1956.0;Ended;35;15.0;9;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep10;17;S1;;SEM;;7085.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3542.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;2002.0;;HR;0;2;;15;2002.0;Ended;35;15.0;10;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep11;17;S1;;SEM;;9427.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;4713.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1914.0;;HR;0;2;;15;1914.0;Ended;35;15.0;11;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep12;17;S1;;SEM;;7944.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;3972.0;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1883.0;;HR;0;2;;15;1883.0;Ended;35;15.0;12;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep13;17;S1;;SEM;;8151.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;4075.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1955.0;;HR;0;2;;15;1955.0;Ended;35;15.0;13;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep14;17;S1;;SEM;;45324.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;22662.0;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6610;1888.0;;HR;0;2;;15;1888.0;Ended;35;15.0;14;;;C3;;13193;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-SEM-ABS_[11-05]-[18-56-31]_rep15;17;S1;;SEM;;5945.0;0;T1;;1.0;G4O;;;6627;2;ABS;1;13158;0;2972.5;0;;S1-T1-C3-PL-HR-G4O-SEM-ABS
1;6553;1870.0;;HR;0;2;;15;1870.0;Ended;170;15.0;0;;;C3;;13099;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep1;41;S1;;OPAQ;;11410.0;0;T1;;1.0;S35;;;6594;2;ABS;1;12929;0;5705.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6547;1899.0;;HR;0;2;;15;1899.0;Ended;162;15.0;1;;;C3;;13085;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep2;39;S1;;OPAQ;;13233.0;0;T1;;1.0;S35;;;6586;2;ABS;1;12923;0;6616.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6573;1830.0;;HR;0;2;;15;1830.0;Ended;192;15.0;2;;;C3;;13141;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep3;43;S1;;OPAQ;;14733.0;0;T1;;1.0;S35;;;6616;2;ABS;1;12949;0;7366.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6584;1937.0;;HR;0;2;;15;1937.0;Ended;199;15.0;3;;;C3;;13159;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep4;39;S1;;OPAQ;;14234.0;0;T1;;1.0;S35;;;6623;2;ABS;1;12960;0;7117.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6538;1799.0;;HR;0;2;;15;1799.0;Ended;158;15.0;4;;;C3;;13072;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep5;44;S1;;OPAQ;;14042.0;0;T1;;1.0;S35;;;6582;2;ABS;1;12914;0;7021.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6556;1804.0;;HR;0;2;;15;1804.0;Ended;165;15.0;5;;;C3;;13097;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep6;33;S1;;OPAQ;;14123.0;0;T1;;1.0;S35;;;6589;2;ABS;1;12932;0;7061.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6557;1793.0;;HR;0;2;;15;1793.0;Ended;171;15.0;6;;;C3;;13104;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep7;38;S1;;OPAQ;;13312.0;0;T1;;1.0;S35;;;6595;2;ABS;1;12933;0;6656.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6539;1784.0;;HR;0;2;;15;1784.0;Ended;145;15.0;7;;;C3;;13060;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep8;30;S1;;OPAQ;;13514.0;0;T1;;1.0;S35;;;6569;2;ABS;1;12915;0;6757.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6565;1796.0;;HR;0;2;;15;1796.0;Ended;174;15.0;8;;;C3;;13115;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep9;33;S1;;OPAQ;;16325.0;0;T1;;1.0;S35;;;6598;2;ABS;1;12941;0;8162.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6546;1822.0;;HR;0;2;;15;1822.0;Ended;161;15.0;9;;;C3;;13083;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep10;39;S1;;OPAQ;;13069.0;0;T1;;1.0;S35;;;6585;2;ABS;1;12922;0;6534.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6566;1906.0;;HR;0;2;;15;1906.0;Ended;175;15.0;10;;;C3;;13117;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep11;33;S1;;OPAQ;;15784.0;0;T1;;1.0;S35;;;6599;2;ABS;1;12942;0;7892.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
2;6700;713.0;;HR;0;3;;15;1426.0;Ended;314;15.0;11;;;C3;;19988;1;1;;;;1;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep12;37;S1;;OPAQ;;21512.0;0;T1;;1.0;S35;;;6737;3;ABS;2;19674;0;7170.666666666667;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6576;1817.0;;HR;0;2;;15;1817.0;Ended;193;15.0;12;;;C3;;13145;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep13;41;S1;;OPAQ;;15965.0;0;T1;;1.0;S35;;;6617;2;ABS;1;12952;0;7982.5;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6598;1922.0;;HR;0;2;;15;1922.0;Ended;212;15.0;13;;;C3;;13186;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep14;38;S1;;OPAQ;;14440.0;0;T1;;1.0;S35;;;6636;2;ABS;1;12974;0;7220.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6543;1902.0;;HR;0;2;;15;1902.0;Ended;157;15.0;14;;;C3;;13076;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-OPAQ-ABS_[11-12]-[22-13-52]_rep15;38;S1;;OPAQ;;16282.0;0;T1;;1.0;S35;;;6581;2;ABS;1;12919;0;8141.0;0;;S1-T1-C3-PL-HR-S35-OPAQ-ABS
1;6616;1959.0;;HR;0;2;;15;1959.0;Ended;185;15.0;0;;;C3;;13225;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep1;42;S1;;SEM;;22074.0;0;T1;;1.0;S35;;;6658;2;ABS;1;13040;0;11037.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6591;1928.0;;HR;0;2;;15;1928.0;Ended;153;15.0;1;;;C3;;13168;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep2;35;S1;;SEM;;16630.0;0;T1;;1.0;S35;;;6626;2;ABS;1;13015;0;8315.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6590;1924.0;;HR;0;2;;15;1924.0;Ended;152;15.0;2;;;C3;;13166;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep3;35;S1;;SEM;;14857.0;0;T1;;1.0;S35;;;6625;2;ABS;1;13014;0;7428.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6591;1879.0;;HR;0;2;;15;1879.0;Ended;153;15.0;3;;;C3;;13168;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep4;35;S1;;SEM;;17753.0;0;T1;;1.0;S35;;;6626;2;ABS;1;13015;0;8876.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6608;1915.0;;HR;0;2;;15;1915.0;Ended;175;15.0;4;;;C3;;13207;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep5;40;S1;;SEM;;16300.0;0;T1;;1.0;S35;;;6648;2;ABS;1;13032;0;8150.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6602;2050.0;;HR;0;2;;15;2050.0;Ended;162;15.0;5;;;C3;;13188;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep6;33;S1;;SEM;;15757.0;0;T1;;1.0;S35;;;6635;2;ABS;1;13026;0;7878.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6592;1998.0;;HR;0;2;;15;1998.0;Ended;159;15.0;6;;;C3;;13175;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep7;40;S1;;SEM;;14025.0;0;T1;;1.0;S35;;;6632;2;ABS;1;13016;0;7012.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6600;2037.0;;HR;0;2;;15;2037.0;Ended;176;15.0;7;;;C3;;13200;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep8;49;S1;;SEM;;15460.0;0;T1;;1.0;S35;;;6649;2;ABS;1;13024;0;7730.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6600;2008.0;;HR;0;2;;15;2008.0;Ended;160;15.0;8;;;C3;;13184;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep9;33;S1;;SEM;;15336.0;0;T1;;1.0;S35;;;6633;2;ABS;1;13024;0;7668.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6590;2016.0;;HR;0;2;;15;2016.0;Ended;152;15.0;9;;;C3;;13166;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep10;35;S1;;SEM;;13485.0;0;T1;;1.0;S35;;;6625;2;ABS;1;13014;0;6742.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6602;1926.0;;HR;0;2;;15;1926.0;Ended;162;15.0;10;;;C3;;13188;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep11;33;S1;;SEM;;15250.0;0;T1;;1.0;S35;;;6635;2;ABS;1;13026;0;7625.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6600;1924.0;;HR;0;2;;15;1924.0;Ended;167;15.0;11;;;C3;;13191;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep12;40;S1;;SEM;;15224.0;0;T1;;1.0;S35;;;6640;2;ABS;1;13024;0;7612.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6598;1932.0;;HR;0;2;;15;1932.0;Ended;160;15.0;12;;;C3;;13182;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep13;35;S1;;SEM;;12237.0;0;T1;;1.0;S35;;;6633;2;ABS;1;13022;0;6118.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6624;2005.0;;HR;0;2;;15;2005.0;Ended;186;15.0;13;;;C3;;13234;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep14;35;S1;;SEM;;18391.0;0;T1;;1.0;S35;;;6659;2;ABS;1;13048;0;9195.5;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
1;6599;1939.0;;HR;0;2;;15;1939.0;Ended;159;15.0;14;;;C3;;13182;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-S35-SEM-ABS_[11-05]-[18-56-31]_rep15;33;S1;;SEM;;15218.0;0;T1;;1.0;S35;;;6632;2;ABS;1;13023;0;7609.0;0;;S1-T1-C3-PL-HR-S35-SEM-ABS
4;7319;1615.25;;HR;0;5;;15;6461.0;Ended;658;15.0;0;;;C1;;35271;1;2;;;;0;Pick the glass then place it next to the plate, moreover pick the binoculars and place it next to the screwdriver;;;;PL;S1-T10-C1-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-54-25]_rep1;32;S1;;OPAQ;;28764.0;0;T10;;0.0;G4O;;;7351;5;ABS;4;34613;0;5752.8;2;;S1-T10-C1-PL-HR-G4O-OPAQ-ABS
4;6750;1360.75;;HR;0;5;;15;5443.0;Ended;152;15.0;1;;;C1;;33406;1;2;;;;0;Pick the glass then place it next to the plate, moreover pick the binoculars and place it next to the screwdriver;;;;PL;S1-T10-C1-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-54-25]_rep2;52;S1;;OPAQ;;19370.0;0;T10;;0.0;G4O;;;6802;5;ABS;4;33254;0;3874.0;2;;S1-T10-C1-PL-HR-G4O-OPAQ-ABS
4;6811;1813.75;;HR;0;5;;15;7255.0;Ended;176;15.0;2;;;C1;;33521;1;2;;;;0;Pick the glass then place it next to the plate, moreover pick the binoculars and place it next to the screwdriver;;;;PL;S1-T10-C1-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-54-25]_rep3;76;S1;;OPAQ;;28713.0;0;T10;;0.0;G4O;;;6887;5;ABS;4;33345;0;5742.6;2;;S1-T10-C1-PL-HR-G4O-OPAQ-ABS
4;6938;1319.25;;HR;0;5;;15;5277.0;Ended;336;15.0;3;;;C1;;34342;1;2;;;;0;Pick the glass then place it next to the plate, moreover pick the binoculars and place it next to the screwdriver;;;;PL;S1-T10-C1-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-54-25]_rep4;51;S1;;OPAQ;;25210.0;0;T10;;0.0;G4O;;;6989;5;ABS;4;34006;0;5042.0;2;;S1-T10-C1-PL-HR-G4O-OPAQ-ABS
